$zero, 0
$ra, 1
$sp, 2
$a0, 3
$a1, 4
$a2, 5
$t0, 6
$t1, 7
$t2, 8
$t3, 9
$t4, 10
$s0, 11
$s1, 12
$s2, 13
$s3, 14
$s4, 15
